code,atr14
1332,23.79
1333,17.68
1414,15.68
1417,61.64
1605,105.21
1719,26.86
1721,95.93
1801,376.79
1802,61.21
1803,57.5
1808,53.82
1812,118.0
1820,80.29
1860,27.32
1878,52.0
1893,40.71
1911,24.93
1925,65.29
1928,45.29
1942,152.71
1944,178.5
1951,44.61
1959,178.57
1963,73.36
1969,105.0
2002,33.04
2127,13.38
2181,5.19
2201,33.18
2206,64.57
2212,75.5
2222,68.21
2229,42.64
2264,22.68
2267,52.11
2269,89.21
2282,111.57
2327,91.71
2331,18.57
2371,31.57
2413,63.5
2432,54.18
2433,39.29
2501,38.5
2502,24.64
2503,53.89
2531,77.0
2579,93.36
2587,72.71
2593,80.21
2607,104.29
2670,45.57
2768,147.21
2784,31.29
2801,41.14
2802,150.29
2809,89.0
2810,69.93
2811,32.32
285A,3759.29
2871,38.64
2875,206.07
2897,54.96
2914,104.07
3003,28.5
3038,86.82
3048,33.83
3064,45.36
3086,88.18
3088,49.96
3092,21.96
3099,87.0
3105,75.71
3107,84.14
3116,45.79
3132,148.5
3197,73.5
3231,11.81
3288,150.93
3289,22.57
3291,38.54
3349,168.79
3360,43.46
3382,32.93
3391,55.67
3397,80.21
3401,39.46
3402,30.61
3405,41.96
3407,35.93
3436,221.57
3549,115.71
3563,231.43
3591,61.36
3626,101.36
3635,38.86
3659,81.11
3697,44.28
3769,306.86
3774,90.79
3861,12.94
3923,48.32
3941,32.29
3994,382.64
4004,832.14
4005,22.18
4021,247.07
4042,51.32
4043,122.71
4045,31.25
4061,101.21
4062,1273.21
4063,101.07
4091,142.79
4114,54.43
4118,122.29
4151,73.39
417A,31.14
4182,112.57
4183,69.29
4186,294.43
4188,37.64
4194,244.79
4202,31.32
4203,249.57
4204,41.36
4205,67.5
4206,71.14
4208,65.43
4272,38.71
4307,159.14
4324,110.64
4385,193.86
4401,110.93
4403,49.25
4452,63.36
4502,102.71
4503,48.64
4506,64.46
4507,59.79
4516,61.79
4519,133.64
4523,99.57
4527,70.11
4528,50.14
4536,48.14
4540,41.07
4543,68.29
4544,79.21
4568,78.57
4578,288.57
4587,40.54
4612,29.57
4613,39.79
4626,23.0
4631,159.5
4661,67.25
4665,63.36
4666,42.75
4676,90.21
4680,51.46
4681,32.04
4684,135.86
4689,14.95
4704,201.0
4716,239.86
4732,27.29
4733,209.36
4751,36.18
4755,19.89
4768,79.86
4887,23.5
4901,73.57
4902,20.4
4911,121.79
4912,41.64
4922,142.36
4927,19.89
4967,71.36
4980,119.68
5016,173.14
5019,38.93
5020,34.79
5021,101.86
5076,70.71
5101,256.86
5105,94.43
5108,70.43
5110,61.54
5201,130.5
5214,138.14
5232,176.36
5233,103.5
5301,69.29
5332,164.57
5333,179.07
5334,249.79
5344,2487.86
5393,106.29
5401,18.21
5406,36.07
5411,48.61
5444,373.21
5463,37.0
5471,90.21
5631,292.5
5706,1487.14
5711,320.14
5713,649.93
5714,435.07
5801,261.43
5802,84.14
5803,303.14
5830,108.21
5831,90.93
5832,82.14
5838,205.07
5844,110.64
5901,83.5
5929,67.43
5938,19.75
5947,57.29
5991,110.21
6005,70.29
6098,638.93
6113,79.18
6134,271.21
6136,100.86
6141,76.32
6146,2475.71
6178,64.04
6268,152.36
6269,386.29
6273,2310.71
6301,196.07
6302,236.79
6305,204.86
6323,163.5
6326,106.82
6361,182.64
6367,360.0
6368,499.29
6370,238.43
6383,159.21
6417,35.75
6436,52.0
6448,115.93
6457,99.93
6460,82.14
6465,90.5
6471,28.54
6472,9.81
6473,62.93
6479,110.21
6481,211.86
6501,152.07
6503,162.14
6504,456.43
6506,154.1
6525,479.57
6526,83.29
6532,257.12
6544,37.79
6586,111.86
6592,37.0
6632,22.47
6645,215.0
6674,171.07
6701,166.71
6702,113.14
6707,298.71
6723,157.93
6724,79.36
6728,245.71
6752,151.29
6753,18.59
6754,115.79
6758,95.57
6762,103.79
6770,61.18
6806,630.36
6841,139.71
6845,31.57
6849,29.96
6856,735.36
6857,1714.29
6861,2062.14
6869,50.14
6902,32.04
6920,1707.14
6923,72.86
6925,143.64
6951,230.57
